temperature_raw,pressure_raw,humidity_raw,sky_raw,weather_time,temperature,pressure,humidity,sky,weather,forecast
26.32,846.78,40.49,398,2020-09-28 16:29:26,high,high,dry,sunny,good,good
26.33,846.8,40.15,387,2020-09-28 16:29:53,high,high,dry,sunny,good,good
26.33,846.79,40.47,406,2020-09-28 16:29:58,high,high,dry,sunny,good,good
26.32,846.78,40.82,408,2020-09-28 16:30:03,high,high,dry,sunny,good,good
26.32,846.78,41.3,402,2020-09-28 16:30:08,high,high,dry,sunny,good,good
26.33,846.77,41.7,401,2020-09-28 16:30:13,high,high,dry,sunny,good,good
26.32,846.77,41.39,398,2020-09-28 16:30:18,high,high,dry,sunny,good,good
26.32,846.75,41.17,396,2020-09-28 16:30:23,high,high,dry,sunny,good,good
26.32,846.78,41.29,388,2020-09-28 16:30:28,high,high,dry,sunny,good,good
26.31,846.74,41.01,389,2020-09-28 16:30:33,high,high,dry,sunny,good,good
26.32,846.79,40.88,408,2020-09-28 16:30:38,high,high,dry,sunny,good,good
26.31,846.71,42.19,439,2020-09-28 16:31:05,high,high,dry,sunny,good,good
26.31,846.8,42.38,439,2020-09-28 16:31:10,high,high,dry,sunny,good,good
26.3,846.73,42.5,438,2020-09-28 16:31:15,high,high,dry,sunny,good,good
26.28,847.23,44.89,729,2020-09-28 18:21:38,high,high,dry,overcast,bad,good
26.28,847.27,44.91,720,2020-09-28 18:21:43,high,high,dry,overcast,bad,good
26.28,847.31,44.92,711,2020-09-28 18:21:48,high,high,dry,overcast,bad,good
26.27,847.19,44.9,701,2020-09-28 18:21:53,high,high,dry,overcast,bad,good
26.27,847.26,44.9,716,2020-09-28 18:21:58,high,high,dry,overcast,bad,good
26.27,847.32,44.9,711,2020-09-28 18:22:03,high,high,dry,overcast,bad,good
26.27,847.26,44.9,721,2020-09-28 18:22:08,high,high,dry,overcast,bad,good
26.26,847.27,44.88,733,2020-09-28 18:22:13,high,high,dry,overcast,bad,good
26.26,847.3,44.9,729,2020-09-28 18:22:18,high,high,dry,overcast,bad,good
26.2,847.25,45.75,748,2020-09-28 18:23:58,high,high,dry,overcast,bad,good
26.2,847.29,45.47,730,2020-09-28 18:24:03,high,high,dry,overcast,bad,good
26.2,847.22,45.49,976,2020-09-28 18:24:08,high,high,dry,overcast,bad,good
26.21,847.27,45.47,690,2020-09-28 18:24:13,high,high,dry,sunny,good,good
26.22,847.28,45.39,738,2020-09-28 18:24:18,high,high,dry,overcast,bad,good
26.21,847.31,45.37,672,2020-09-28 18:24:23,high,high,dry,sunny,good,good
27.3,847.39,73.28,671,2020-09-28 18:24:28,high,high,wet,sunny,bad,good
28.29,847.39,80.45,668,2020-09-28 18:24:33,high,high,wet,sunny,bad,good
27.78,847.38,80.51,674,2020-09-28 18:24:38,high,high,wet,sunny,bad,good
27.46,847.39,81.35,666,2020-09-28 18:24:43,high,high,wet,sunny,bad,good
27.3,847.39,81.9,669,2020-09-28 18:24:48,high,high,wet,sunny,bad,good
27.13,847.39,82.21,702,2020-09-28 18:24:53,high,high,wet,overcast,bad,good
26.96,847.37,82.29,987,2020-09-28 18:24:58,high,high,wet,overcast,bad,good
26.84,847.38,82.34,991,2020-09-28 18:25:03,high,high,wet,overcast,bad,good
26.76,847.44,82.17,992,2020-09-28 18:25:08,high,high,wet,overcast,bad,good
26.67,847.38,81.51,663,2020-09-28 18:25:13,high,high,wet,sunny,bad,good
26.58,847.38,78.46,666,2020-09-28 18:25:18,high,high,wet,sunny,bad,good
26.56,847.4,76.8,673,2020-09-28 18:25:23,high,high,wet,sunny,bad,good
26.52,847.38,72.86,668,2020-09-28 18:25:28,high,high,wet,sunny,bad,good
26.49,847.36,69.9,677,2020-09-28 18:25:33,high,high,wet,sunny,bad,good
26.47,847.32,66.19,684,2020-09-28 18:25:38,high,high,wet,sunny,bad,good
26.46,847.33,62.15,671,2020-09-28 18:25:43,high,high,wet,sunny,bad,good
26.46,847.36,58.59,680,2020-09-28 18:25:48,high,high,wet,sunny,bad,good
26.46,847.34,55.82,671,2020-09-28 18:25:53,high,high,wet,sunny,bad,good
26.46,847.3,53.99,677,2020-09-28 18:25:58,high,high,dry,sunny,good,good
26.46,847.29,52.68,672,2020-09-28 18:26:03,high,high,dry,sunny,good,good
26.45,847.34,51.73,673,2020-09-28 18:26:08,high,high,dry,sunny,good,good
26.45,847.37,50.97,673,2020-09-28 18:26:13,high,high,dry,sunny,good,good
26.45,847.34,49.94,679,2020-09-28 18:26:18,high,high,dry,sunny,good,good
26.44,847.28,49.26,711,2020-09-28 18:26:23,high,high,dry,overcast,bad,good
26.43,847.3,49.09,678,2020-09-28 18:26:28,high,high,dry,sunny,good,good
26.42,847.24,48.88,688,2020-09-28 18:26:33,high,high,dry,sunny,good,good
26.42,847.31,48.59,681,2020-09-28 18:26:38,high,high,dry,sunny,good,good
